freq_hz,power,power_db,active
-497029.038757,2.30134694e-06,-51.135481,0
-496998.199951,1.9132954e-06,-51.937481,0
-496967.361145,1.922807e-06,-51.915945,0
-496936.522339,1.85765845e-06,-52.065643,0
-496905.683533,2.01102548e-06,-51.721126,0
-496874.844727,1.9862972e-06,-51.774859,0
-496844.005920,2.12625647e-06,-51.479145,0
-496813.167114,1.66870775e-06,-52.531499,0
-496782.328308,1.5995776e-06,-52.715249,0
-496751.489502,1.5741229e-06,-52.784915,0
-496720.650696,1.69098171e-06,-52.473913,0
-496689.811890,1.83030106e-06,-52.130076,0
-496658.973083,2.26134719e-06,-51.211629,0
-496628.134277,2.59731863e-06,-50.610049,0
-496597.295471,2.2226541e-06,-51.286583,0
-496566.456665,2.12459247e-06,-51.482545,0
-496535.617859,2.07226846e-06,-51.590842,0
-496504.779053,1.90939775e-06,-51.946338,0
-496473.940247,2.3868045e-06,-50.977133,0
-496443.101440,2.60858292e-06,-50.591255,0
-496412.262634,2.948498e-06,-50.059293,0
-496381.423828,2.38039074e-06,-50.988819,0
-496350.585022,1.98793383e-06,-51.771282,0
-496319.746216,1.97313616e-06,-51.803731,0
-496288.907410,1.91169308e-06,-51.941120,0
-496258.068604,2.45809578e-06,-50.849314,0
-496227.229797,2.43493894e-06,-50.890421,0
-496196.390991,2.17425197e-06,-51.382203,0
-496165.552185,2.03969684e-06,-51.659645,0
-496134.713379,2.33622532e-06,-51.070154,0
-496103.874573,2.3076251e-06,-51.123649,0
-496073.035767,2.15275178e-06,-51.425362,0
-496042.196960,1.88655237e-06,-51.998613,0
-496011.358154,2.26601696e-06,-51.202670,0
-495980.519348,2.44428688e-06,-50.873780,0
-495949.680542,2.47937089e-06,-50.811887,0
-495918.841736,2.35056676e-06,-51.043576,0
-495888.002930,2.33057006e-06,-51.080680,0
-495857.164124,2.3335646e-06,-51.075103,0
-495826.325317,2.18269652e-06,-51.365368,0
-495795.486511,2.02569126e-06,-51.689569,0
-495764.647705,2.14211735e-06,-51.446869,0
-495733.808899,2.49689085e-06,-50.781306,0
-495702.970093,3.10412893e-06,-49.835904,0
-495672.131287,3.00683853e-06,-49.974201,0
-495641.292480,2.57015957e-06,-50.655701,0
-495610.453674,2.60275903e-06,-50.600962,0
-495579.614868,2.6947663e-06,-50.450091,0
-495548.776062,2.09224628e-06,-51.549174,0
-495517.937256,2.49091821e-06,-50.791707,0
-495487.098450,2.22622441e-06,-51.279612,0
-495456.259644,2.39396642e-06,-50.964121,0
-495425.420837,2.46737675e-06,-50.832947,0
-495394.582031,2.12988481e-06,-51.471741,0
-495363.743225,1.99088238e-06,-51.764846,0
-495332.904419,2.12745821e-06,-51.476691,0
-495302.065613,2.00136081e-06,-51.742048,0
-495271.226807,1.93690831e-06,-51.884211,0
-495240.388000,2.19852495e-06,-51.333988,0
-495209.549194,2.1875715e-06,-51.355679,0
-495178.710388,2.09694359e-06,-51.539434,0
-495147.871582,2.24367363e-06,-51.245705,0
-495117.032776,2.35792612e-06,-51.030000,0
-495086.193970,2.33517861e-06,-51.072101,0
-495055.355164,2.40651501e-06,-50.941416,0
-495024.516357,2.11038192e-06,-51.511691,0
-494993.677551,2.42354658e-06,-50.910788,0
-494962.838745,2.22837404e-06,-51.275421,0
-494931.999939,2.32059232e-06,-51.099313,0
-494901.161133,2.21394037e-06,-51.303643,0
-494870.322327,2.4225891e-06,-50.912504,0
-494839.483521,2.55443955e-06,-50.682345,0
-494808.644714,2.74431578e-06,-50.370961,0
-494777.805908,2.4188183e-06,-50.919269,0
-494746.967102,2.09104602e-06,-51.551666,0
-494716.128296,2.41484226e-06,-50.926414,0
-494685.289490,2.26303946e-06,-51.208380,0
-494654.450684,2.38749059e-06,-50.975885,0
-494623.611877,2.52581962e-06,-50.731278,0
-494592.773071,2.0494974e-06,-51.638828,0
-494561.934265,1.8805161e-06,-52.012531,0
-494531.095459,1.90043896e-06,-51.966762,0
-494500.256653,1.91205738e-06,-51.940292,0
-494469.417847,1.87782646e-06,-52.018747,0
-494438.579041,1.56046167e-06,-52.822771,0
-494407.740234,1.95549463e-06,-51.842735,0
-494376.901428,1.63899384e-06,-52.609528,0
-494346.062622,1.76284299e-06,-52.293165,0
-494315.223816,1.9551987e-06,-51.843393,0
-494284.385010,2.01080256e-06,-51.721607,0
-494253.546204,1.86036305e-06,-52.059325,0
-494222.707397,1.8381202e-06,-52.111563,0
-494191.868591,2.50852756e-06,-50.761113,0
-494161.029785,2.33176454e-06,-51.078455,0
-494130.190979,2.42275545e-06,-50.912206,0
-494099.352173,2.36672872e-06,-51.013817,0
-494068.513367,2.08725942e-06,-51.559537,0
-494037.674561,2.22001004e-06,-51.291752,0
-494006.835754,2.0981989e-06,-51.536835,0
-493975.996948,1.99727956e-06,-51.750913,0
-493945.158142,2.34757715e-06,-51.049103,0
-493914.319336,2.04414494e-06,-51.650185,0
-493883.480530,1.93254839e-06,-51.893998,0
-493852.641724,2.12921131e-06,-51.473114,0
-493821.802917,2.56283485e-06,-50.668095,0
-493790.964111,2.33618572e-06,-51.070228,0
-493760.125305,1.81486773e-06,-52.166852,0
-493729.286499,1.66909293e-06,-52.530497,0
-493698.447693,2.19913708e-06,-51.332779,0
-493667.608887,2.5430111e-06,-50.701819,0
-493636.770081,2.4062456e-06,-50.941902,0
-493605.931274,2.10310265e-06,-51.526697,0
-493575.092468,2.0502707e-06,-51.637190,0
-493544.253662,1.88948813e-06,-51.991860,0
-493513.414856,1.93226032e-06,-51.894645,0
-493482.576050,1.68643807e-06,-52.485598,0
-493451.737244,1.96299691e-06,-51.826106,0
-493420.898438,2.32953529e-06,-51.082609,0
-493390.059631,2.59533459e-06,-50.613368,0
-493359.220825,2.4646157e-06,-50.837810,0
-493328.382019,2.96109439e-06,-50.040779,0
-493297.543213,2.75642757e-06,-50.351836,0
-493266.704407,2.20486939e-06,-51.321473,0
-493235.865601,2.35953143e-06,-51.027044,0
-493205.026794,1.84175825e-06,-52.102975,0
-493174.187988,1.84399615e-06,-52.097702,0
-493143.349182,2.04353557e-06,-51.651480,0
-493112.510376,2.36553815e-06,-51.016002,0
-493081.671570,2.55084289e-06,-50.688465,0
-493050.832764,2.3094029e-06,-51.120305,0
-493019.993958,1.92689545e-06,-51.906720,0
-492989.155151,1.76340628e-06,-52.291778,0
-492958.316345,1.80442613e-06,-52.191911,0
-492927.477539,2.03252009e-06,-51.674953,0
-492896.638733,2.07097672e-06,-51.593550,0
-492865.799927,2.34223195e-06,-51.059003,0
-492834.961121,2.64161773e-06,-50.536602,0
-492804.122314,2.18699648e-06,-51.356821,0
-492773.283508,2.59905521e-06,-50.607147,0
-492742.444702,2.52778591e-06,-50.727899,0
-492711.605896,2.42698919e-06,-50.904623,0
-492680.767090,2.54008539e-06,-50.706819,0
-492649.928284,2.11899881e-06,-51.493995,0
-492619.089478,2.13954182e-06,-51.452094,0
-492588.250671,2.61229973e-06,-50.585072,0
-492557.411865,2.23562547e-06,-51.261311,0
-492526.573059,1.99339836e-06,-51.759361,0
-492495.734253,2.15697958e-06,-51.416841,0
-492464.895447,2.36160812e-06,-51.023223,0
-492434.056641,2.43284134e-06,-50.894164,0
-492403.217834,2.47539534e-06,-50.818856,0
-492372.379028,2.19405642e-06,-51.342824,0
-492341.540222,2.30598658e-06,-51.126734,0
-492310.701416,2.4503594e-06,-50.863004,0
-492279.862610,2.31618149e-06,-51.107576,0
-492249.023804,2.32174484e-06,-51.097157,0
-492218.184998,2.0104793e-06,-51.722306,0
-492187.346191,2.46780873e-06,-50.832187,0
-492156.507385,2.43532535e-06,-50.889732,0
-492125.668579,1.95048509e-06,-51.853875,0
-492094.829773,2.11740187e-06,-51.497269,0
-492063.990967,2.55677926e-06,-50.678369,0
-492033.152161,2.14994499e-06,-51.431028,0
-492002.313354,1.93512148e-06,-51.888219,0
-491971.474548,1.63607616e-06,-52.617267,0
-491940.635742,1.82330632e-06,-52.146705,0
-491909.796936,2.47751465e-06,-50.815139,0
-491878.958130,2.60008831e-06,-50.605421,0
-491848.119324,2.36275572e-06,-51.021113,0
-491817.280518,1.93432079e-06,-51.890017,0
-491786.441711,2.01381968e-06,-51.715096,0
-491755.602905,2.37176814e-06,-51.004579,0
-491724.764099,2.24810654e-06,-51.237133,0
-491693.925293,1.79102229e-06,-52.224292,0
-491663.086487,2.10251744e-06,-51.527906,0
-491632.247681,2.53287254e-06,-50.719168,0
-491601.408875,2.50640406e-06,-50.764791,0
-491570.570068,1.99824902e-06,-51.748806,0
-491539.731262,2.15950618e-06,-51.411757,0
-491508.892456,1.7760654e-06,-52.260712,0
-491478.053650,1.88743103e-06,-51.996591,0
-491447.214844,2.49145697e-06,-50.790768,0
-491416.376038,2.23879538e-06,-51.255158,0
-491385.537231,1.79902504e-06,-52.204930,0
-491354.698425,1.82115615e-06,-52.151830,0
-491323.859619,2.10612935e-06,-51.520451,0
-491293.020813,1.95335279e-06,-51.847495,0
-491262.182007,2.14478975e-06,-51.441454,0
-491231.343201,2.15854449e-06,-51.413692,0
-491200.504395,1.7140909e-06,-52.414963,0
-491169.665588,1.8428158e-06,-52.100482,0
-491138.826782,1.94666027e-06,-51.862400,0
-491107.987976,2.01976119e-06,-51.702301,0
-491077.149170,1.86999516e-06,-52.036897,0
-491046.310364,2.17994122e-06,-51.370854,0
-491015.471558,2.36656552e-06,-51.014116,0
-490984.632751,2.57891371e-06,-50.640934,0
-490953.793945,2.36756477e-06,-51.012283,0
-490922.955139,2.24709223e-06,-51.239093,0
-490892.116333,2.45156805e-06,-50.860862,0
-490861.277527,2.43412045e-06,-50.891881,0
-490830.438721,2.02225827e-06,-51.696935,0
-490799.599915,2.21748894e-06,-51.296687,0
-490768.761108,2.3909088e-06,-50.969672,0
-490737.922302,2.2769046e-06,-51.181853,0
-490707.083496,2.61970175e-06,-50.572783,0
-490676.244690,2.54539338e-06,-50.697753,0
-490645.405884,1.87797368e-06,-52.018407,0
-490614.567078,1.42102199e-06,-53.229294,0
-490583.728271,1.80069441e-06,-52.200902,0
-490552.889465,2.16630041e-06,-51.398115,0
-490522.050659,2.3027575e-06,-51.132820,0
-490491.211853,2.04106086e-06,-51.656742,0
-490460.373047,1.75703129e-06,-52.307507,0
-490429.534241,2.28977237e-06,-51.157379,0
-490398.695435,2.13540181e-06,-51.460506,0
-490367.856628,2.4330707e-06,-50.893754,0
-490337.017822,2.64799618e-06,-50.526128,0
-490306.179016,1.90366266e-06,-51.959402,0
-490275.340210,1.54233325e-06,-52.873519,0
-490244.501404,2.06344779e-06,-51.609367,0
-490213.662598,2.21669333e-06,-51.298246,0
-490182.823792,2.15540751e-06,-51.420008,0
-490151.984985,2.1946463e-06,-51.341656,0
