i,q,symbol,bin,qpsk4_score,carrier_rms
0.3166099,-0.4844154,1,-105,0.1700114,0.0478369
-0.7944983,-0.3200475,1,-102,0.1455248,0.0460441
-0.1216976,-0.4014237,1,-97,0.2231352,0.0468305
0.5694281,0.0095905,1,-93,0.1646879,0.0470861
-0.3328415,-0.8569329,1,-92,0.3089982,0.0460732
1.0567420,-0.6160147,1,-91,0.2321491,0.0492880
0.0306063,-0.7175727,1,-86,0.1722495,0.0461495
1.0812882,-0.2203440,1,-84,0.1585806,0.0476333
0.7856981,0.2061357,1,-83,0.1374099,0.0476727
0.1900925,-0.6425224,1,-79,0.1861676,0.0487268
0.2333362,-0.4548438,1,-76,0.2045140,0.0481646
0.2509815,0.5642979,1,-74,0.1948881,0.0492121
1.2872332,-0.3016342,1,-73,0.1472219,0.0492468
-1.2625256,-0.1134536,1,-72,0.2633018,0.0480336
-0.2350774,0.6470519,1,-69,0.1511319,0.0485273
-0.5176598,-0.0181470,1,-64,0.3113982,0.0487102
0.4717317,-0.2086607,1,-62,0.1939685,0.0475836
-0.2768383,-1.5369600,1,-61,0.1683552,0.0482859
-0.3096100,-0.7968889,1,-60,0.1550666,0.0497879
0.2781574,-0.6471076,1,-59,0.2103914,0.0506227
0.2325819,-0.1492445,1,-58,0.2477017,0.0476262
1.4834527,-1.6591762,1,-56,0.1511308,0.0486317
0.4911306,-0.2855502,1,-55,0.2794665,0.0477681
0.9568946,0.3256972,1,-54,0.1639302,0.0472464
0.4241333,-0.2774517,1,-49,0.1452189,0.0478660
1.9304529,-0.5569826,1,-48,0.1775129,0.0473981
-0.6645474,0.4143464,1,-46,0.1382580,0.0498963
0.4100347,-1.2557766,1,-43,0.1465134,0.0503977
-0.3199431,-0.9190174,1,-42,0.1582611,0.0461713
0.6278894,1.0396644,1,-41,0.2490263,0.0487336
-0.2638078,-0.5444384,1,-40,0.1988561,0.0479146
-0.9574963,-1.1215214,1,-39,0.1695710,0.0490551
0.1246228,-0.0771500,1,-37,0.1583061,0.0477034
-0.8526640,-0.3088178,1,-35,0.2030056,0.0473512
0.7564475,-0.6337990,1,-33,0.2319180,0.0461964
1.4553879,-1.6871732,1,-29,0.1848072,0.0486243
-1.6987506,-0.2042357,1,-28,0.1819192,0.0492241
-0.6328944,0.0186352,1,-25,0.2299914,0.0489457
0.2536247,-0.3170473,1,-24,0.2017165,0.0499965
0.6799311,1.3102808,1,-22,0.1553333,0.0471174
0.3048632,-0.9619340,1,-21,0.1545720,0.0494302
-0.3666335,0.0445124,1,-19,0.1691997,0.0487125
0.6164787,1.0262218,1,-18,0.2177951,0.0464524
0.3954585,-0.1140635,1,-16,0.1599836,0.0491891
0.2265854,0.8545991,1,-15,0.1579232,0.0492524
0.8038972,0.6796056,1,-13,0.2262520,0.0490696
-0.0347508,0.5403857,1,-9,0.2446392,0.0501565
-0.2499635,-0.7439765,1,-8,0.3376125,0.0486410
1.2518816,0.4312768,1,-7,0.1726434,0.0480680
0.3932606,1.2498727,1,-4,0.2167873,0.0459735
0.9252657,-0.2915246,1,-3,0.2085642,0.0498847
0.0415087,-2.2515309,1,-1,0.1457074,0.0485285
-0.7571281,1.4069884,1,6,0.3646162,0.0486375
-0.1747047,0.5967746,1,14,0.2100143,0.0495489
-0.5400122,-0.6800919,1,15,0.1605183,0.0448531
1.0638877,0.8327641,1,17,0.2006158,0.0480301
0.6615459,-0.6798327,1,18,0.1693009,0.0510269
0.9872518,0.9660521,1,20,0.2159038,0.0462544
0.4334658,0.4949302,1,21,0.1982075,0.0471185
-0.2470513,-1.0224410,1,22,0.1843192,0.0461868
-0.0479949,-1.1619523,1,24,0.2535864,0.0491804
-0.5305855,0.0677947,1,29,0.1452729,0.0474891
0.4308548,0.8608671,1,31,0.2354418,0.0471028
0.2298057,-0.2460091,1,33,0.2349183,0.0460823
0.7608328,-0.0046063,1,35,0.2013936,0.0466466
-0.2749344,0.4703350,1,36,0.1541084,0.0483712
0.5089486,1.1773858,1,37,0.1717860,0.0485458
-0.0218495,-0.6054622,1,38,0.1979523,0.0478428
-0.6308720,0.3550250,1,39,0.1869947,0.0483823
-0.4370575,-0.0734800,1,40,0.2699444,0.0490771
0.2322813,-0.2319086,1,41,0.1514594,0.0464165
-1.6990026,-0.8389907,1,42,0.1848440,0.0478055
-0.9888732,0.9604762,1,44,0.1417439,0.0471384
-1.4621474,-1.2901559,1,50,0.1803309,0.0501290
-1.0273483,0.3711180,1,52,0.2014018,0.0473245
-0.5968410,-0.4078506,1,57,0.2212777,0.0499938
0.9036335,0.1320332,1,59,0.1403024,0.0477134
0.3091516,-0.7221310,1,61,0.2954585,0.0479243
0.1168630,0.1158741,1,62,0.1400744,0.0485510
-0.0656448,-0.3847090,1,64,0.1776270,0.0460626
0.2675437,-0.5117656,1,65,0.2023178,0.0487666
-0.6855273,-0.2241757,1,66,0.2201032,0.0476580
-0.0593590,0.6236117,1,67,0.1543360,0.0475317
-0.4141864,1.4821193,1,73,0.2576961,0.0466101
-0.4281242,0.1421399,1,75,0.1689904,0.0496719
0.4441578,-0.4090659,1,77,0.2317576,0.0493696
0.8172223,0.8379574,1,78,0.1670030,0.0491334
-1.1115838,0.8397863,1,82,0.1386692,0.0479891
0.1604865,-0.7764145,1,86,0.2179297,0.0483902
1.0555393,0.2408284,1,87,0.2380221,0.0456496
-0.1986279,-1.2123516,1,90,0.1791966,0.0501771
1.2376435,0.5382258,1,93,0.1539080,0.0484268
-0.6537498,-0.4010110,1,94,0.2988110,0.0456443
-0.7010456,0.7711323,1,95,0.2611577,0.0483864
-0.1817973,-0.8640738,1,98,0.1412330,0.0492111
-0.3479308,-0.6129810,1,100,0.1865416,0.0486606
0.9230443,0.3598616,1,104,0.1721611,0.0472041
0.3028592,-0.4420679,1,105,0.1376047,0.0482149
-1.1005670,0.3400789,1,106,0.2067894,0.0499533
0.5764497,-0.1243534,1,108,0.1777058,0.0486216
0.1355589,0.2340670,1,110,0.2231470,0.0499828
-0.5553951,-0.3964760,1,111,0.3326568,0.0477776
-1.3570238,0.2489924,1,112,0.1798178,0.0470163
-0.7925072,0.5140615,1,115,0.3092486,0.0507229
0.9529493,0.1755099,1,122,0.1516911,0.0491668
-0.7808639,0.0870947,1,123,0.2795881,0.0467701
0.9250859,-0.3631772,1,132,0.1435772,0.0472711
0.3918643,0.1646766,1,134,0.1520055,0.0479572
-0.1238057,0.3908278,1,136,0.1960305,0.0455377
0.3111382,0.1793050,1,137,0.3164413,0.0456983
0.0912183,-0.4683405,1,138,0.1747880,0.0462843
0.2731940,-0.0074456,1,140,0.3446588,0.0477963
0.2647990,-1.2355138,1,144,0.2366702,0.0472732
-0.3413011,-0.5628178,1,145,0.1694900,0.0464467
1.2171724,-0.4618044,1,146,0.1628005,0.0449671
-0.6021886,-0.1134723,1,147,0.2043749,0.0459627
0.5129048,1.1678379,1,151,0.1377462,0.0479981
-0.1125846,-0.6089427,1,152,0.1896993,0.0482453
0.0288498,-0.8034604,1,155,0.2575336,0.0436546
-0.1902868,0.8077258,1,157,0.1504024,0.0487706
-1.3150450,-1.2021368,1,162,0.1466781,0.0314310
