delta,offset,cp_score,qpsk4_score
99,1002,0.03532594,0.01121892
100,1003,0.03609489,0.01252432
101,1004,0.03057584,0.01114559
102,1005,0.02798163,0.01195038
103,1006,0.03139748,0.01882823
104,1007,0.03424322,0.01498220
105,1008,0.03468100,0.01161539
106,1009,0.03796216,0.02251896
107,1010,0.03663431,0.01610569
108,1011,0.03637518,0.01488510
109,1012,0.03703977,0.00694481
110,1013,0.03992080,0.01691415
111,1014,0.03796908,0.01057327
112,1015,0.03611349,0.00944313
113,1016,0.03548464,0.02023340
114,1017,0.03556119,0.01530508
115,1018,0.03108378,0.00742639
116,1019,0.02478013,0.00946013
117,1020,0.01770564,0.00610012
118,1021,0.01400182,0.01252361
119,1022,0.01286739,0.00625503
120,1023,0.01228402,0.00192637
121,1024,0.01026700,0.01435532
122,1025,0.00973552,0.00920799
123,1026,0.00753692,0.00946264
124,1027,0.00474049,0.00590858
125,1028,0.00648960,0.01594440
126,1029,0.00868900,0.00706321
127,1030,0.01218196,0.00336418
128,1031,0.01682646,0.00292646
129,1032,0.02122798,0.02773273
130,1033,0.02152242,0.00440002
131,1034,0.02123645,0.01210942
132,1035,0.02213312,0.00976063
133,1036,0.02404734,0.02365716
134,1037,0.02169056,0.01280302
135,1038,0.01786601,0.01121631
136,1039,0.01477534,0.00843199
137,1040,0.01123669,0.02084943
138,1041,0.00075996,0.01598843
139,1042,0.00806416,0.00896519
140,1043,0.01675060,0.01662488
141,1044,0.02447369,0.01884158
142,1045,0.02967377,0.01068721
143,1046,0.02824849,0.01736919
144,1047,0.02558649,0.03874880
145,1048,0.02527988,0.01604851
146,1049,0.02259404,0.01200111
147,1050,0.01647398,0.01922014
148,1051,0.01343824,0.01888136
149,1052,0.01483594,0.02688401
150,1053,0.01674451,0.00998600
151,1054,0.01606195,0.02181627
152,1055,0.01388321,0.01229676
153,1056,0.00000000,0.00000000
154,1057,0.00000000,0.00000000
155,1058,0.00000000,0.00000000
156,1059,0.00000000,0.00000000
157,1060,0.00000000,0.00000000
158,1061,0.00000000,0.00000000
159,1062,0.00000000,0.00000000
160,1063,0.00000000,0.00000000
