i,q,symbol,bin,qpsk4_score,carrier_rms
-0.9110101,0.0123765,0,72,0.1896206,0.0323346
-1.3379414,1.0919058,0,75,0.1675968,0.0343307
0.4603482,-0.3498712,0,77,0.2244337,0.0336526
0.1751617,-0.5776111,0,78,0.1891632,0.0333471
0.4453896,0.5783474,1,-79,0.2501132,0.0322619
0.7414323,0.4692163,1,-76,0.3398334,0.0327613
0.7742378,-0.6332031,1,-74,0.1941545,0.0344416
0.3806811,-1.3107905,1,-72,0.2003226,0.0324508
0.7188222,1.6136204,1,-71,0.2163529,0.0324261
0.7808417,0.1609672,1,-70,0.2217442,0.0311667
0.4808530,-0.7063797,1,-68,0.1923675,0.0312710
1.0331011,0.2449061,1,-67,0.1570395,0.0345046
0.4600743,-0.1474091,1,-65,0.1866726,0.0345717
-0.3659397,0.4158827,1,-63,0.2275395,0.0348791
-0.4878128,-0.2045251,1,-62,0.2089079,0.0343295
-0.0907437,0.5342529,1,-61,0.2655490,0.0322064
1.0862335,0.1623718,1,-58,0.2100309,0.0333572
-0.7890109,0.6020139,1,-57,0.2247283,0.0340330
-0.1473655,0.8344346,1,-56,0.2210422,0.0332184
-0.0073808,-0.1836669,1,-54,0.1823994,0.0329907
-0.8718311,-0.5342322,1,-49,0.1672389,0.0347945
-1.3278881,2.0257215,1,-48,0.2353979,0.0343193
-0.6056867,-0.9997425,1,-47,0.2414223,0.0320335
-1.5651413,-0.5236196,1,-46,0.1879204,0.0355634
0.1784336,0.8965922,1,-44,0.1774834,0.0316402
-1.1051421,-0.2669753,1,-43,0.1669991,0.0335626
0.5541096,0.6976913,1,-42,0.2398450,0.0326647
0.9865310,-0.7970852,1,-40,0.2284884,0.0344049
-0.9827470,-0.5114089,1,-39,0.2268003,0.0354010
0.9155354,0.3149580,1,-38,0.2202643,0.0346560
0.1430144,-0.4647326,1,-36,0.2231240,0.0331801
-1.1466435,-0.1077571,1,-33,0.1589296,0.0329247
0.2575777,1.4097822,1,-32,0.2391770,0.0345359
-0.5733771,0.5924562,1,-31,0.2330564,0.0354402
0.5618358,-0.2924623,1,-27,0.2107448,0.0322772
0.9182158,0.8183880,1,-25,0.1999021,0.0335838
0.9712353,-0.7065244,1,-24,0.1679632,0.0348238
-0.3240398,-0.6972558,1,-22,0.2049773,0.0350560
-0.1927501,0.0345097,1,-20,0.1728152,0.0345012
-0.8543790,1.0643783,1,-18,0.2527941,0.0328072
-0.2060459,-0.2181872,1,-16,0.3097780,0.0317280
0.3180557,-0.1719357,1,-14,0.1747163,0.0338224
0.1656745,0.5956184,1,-13,0.1633070,0.0345562
0.8207339,1.1086370,1,-12,0.1729274,0.0357050
-0.0046412,0.4213261,1,-9,0.1710930,0.0326216
-0.3252944,0.1480447,1,-5,0.1951635,0.0333549
0.2237682,1.1496106,1,-4,0.2042495,0.0343066
0.3173121,1.3470434,1,1,0.2247535,0.0338508
0.1112629,-0.0246400,1,2,0.2939762,0.0348152
0.4692001,1.4685663,1,3,0.1737424,0.0339353
0.2963420,-0.5158246,1,4,0.2594089,0.0346524
0.5102198,-0.5305561,1,6,0.1565750,0.0334332
0.2181653,-0.5177499,1,7,0.1737236,0.0326045
-0.1678540,-0.3420878,1,9,0.1678294,0.0326805
1.1297483,-0.1034692,1,10,0.2213898,0.0344193
-0.8101328,-0.5034519,1,12,0.2120367,0.0333326
-0.8619423,1.2486093,1,13,0.1577619,0.0357245
0.5856658,-0.6178107,1,14,0.1939455,0.0349792
-1.3455646,-1.4285746,1,15,0.2121444,0.0327481
0.0834638,0.3995782,1,16,0.2309634,0.0329294
