channel_snr_db,noise_bandwidth_hz,symbol_rate,symbol_rate_hz,esn0_db,ebn0_db,fec,offered_packets,correct_packets,missed_or_bad_packets,packet_error_percent
6.00,333000,333k,333000,6.00,2.99,1/2,240,240,0,0.00
6.20,333000,333k,333000,6.20,3.19,1/2,240,240,0,0.00
6.40,333000,333k,333000,6.40,3.39,1/2,240,240,0,0.00
6.60,333000,333k,333000,6.60,3.59,1/2,240,240,0,0.00
6.80,333000,333k,333000,6.80,3.79,1/2,240,240,0,0.00
7.00,333000,333k,333000,7.00,3.99,1/2,240,240,0,0.00
7.20,333000,333k,333000,7.20,4.19,1/2,240,240,0,0.00
7.40,333000,333k,333000,7.40,4.39,1/2,240,240,0,0.00
7.60,333000,333k,333000,7.60,4.59,1/2,240,240,0,0.00
7.80,333000,333k,333000,7.80,4.79,1/2,240,240,0,0.00
8.00,333000,333k,333000,8.00,4.99,1/2,240,240,0,0.00
0.00,333000,333k,333000,0.00,-3.01,2/3,240,0,240,100.00
0.20,333000,333k,333000,0.20,-2.81,2/3,240,0,240,100.00
0.40,333000,333k,333000,0.40,-2.61,2/3,240,0,240,100.00
0.60,333000,333k,333000,0.60,-2.41,2/3,240,0,240,100.00
0.80,333000,333k,333000,0.80,-2.21,2/3,240,0,240,100.00
1.00,333000,333k,333000,1.00,-2.01,2/3,240,0,240,100.00
1.20,333000,333k,333000,1.20,-1.81,2/3,240,0,240,100.00
1.40,333000,333k,333000,1.40,-1.61,2/3,240,0,240,100.00
1.60,333000,333k,333000,1.60,-1.41,2/3,240,0,240,100.00
1.80,333000,333k,333000,1.80,-1.21,2/3,240,0,240,100.00
2.00,333000,333k,333000,2.00,-1.01,2/3,240,0,240,100.00
2.20,333000,333k,333000,2.20,-0.81,2/3,240,0,240,100.00
2.40,333000,333k,333000,2.40,-0.61,2/3,240,0,240,100.00
2.60,333000,333k,333000,2.60,-0.41,2/3,240,0,240,100.00
2.80,333000,333k,333000,2.80,-0.21,2/3,240,2,238,99.17
3.00,333000,333k,333000,3.00,-0.01,2/3,240,5,235,97.92
3.20,333000,333k,333000,3.20,0.19,2/3,240,10,230,95.83
3.40,333000,333k,333000,3.40,0.39,2/3,240,27,213,88.75
3.60,333000,333k,333000,3.60,0.59,2/3,240,69,171,71.25
3.80,333000,333k,333000,3.80,0.79,2/3,240,105,135,56.25
4.00,333000,333k,333000,4.00,0.99,2/3,240,149,91,37.92
4.20,333000,333k,333000,4.20,1.19,2/3,240,177,63,26.25
4.40,333000,333k,333000,4.40,1.39,2/3,240,204,36,15.00
4.60,333000,333k,333000,4.60,1.59,2/3,240,213,27,11.25
4.80,333000,333k,333000,4.80,1.79,2/3,240,220,20,8.33
5.00,333000,333k,333000,5.00,1.99,2/3,240,232,8,3.33
5.20,333000,333k,333000,5.20,2.19,2/3,240,233,7,2.92
5.40,333000,333k,333000,5.40,2.39,2/3,240,239,1,0.42
5.60,333000,333k,333000,5.60,2.59,2/3,240,240,0,0.00
5.80,333000,333k,333000,5.80,2.79,2/3,240,239,1,0.42
6.00,333000,333k,333000,6.00,2.99,2/3,240,239,1,0.42
6.20,333000,333k,333000,6.20,3.19,2/3,240,240,0,0.00
6.40,333000,333k,333000,6.40,3.39,2/3,240,240,0,0.00
6.60,333000,333k,333000,6.60,3.59,2/3,240,240,0,0.00
6.80,333000,333k,333000,6.80,3.79,2/3,240,240,0,0.00
7.00,333000,333k,333000,7.00,3.99,2/3,240,240,0,0.00
7.20,333000,333k,333000,7.20,4.19,2/3,240,240,0,0.00
7.40,333000,333k,333000,7.40,4.39,2/3,240,240,0,0.00
7.60,333000,333k,333000,7.60,4.59,2/3,240,240,0,0.00
7.80,333000,333k,333000,7.80,4.79,2/3,240,240,0,0.00
8.00,333000,333k,333000,8.00,4.99,2/3,240,240,0,0.00
0.00,333000,333k,333000,0.00,-3.01,3/4,240,0,240,100.00
0.20,333000,333k,333000,0.20,-2.81,3/4,240,0,240,100.00
0.40,333000,333k,333000,0.40,-2.61,3/4,240,0,240,100.00
0.60,333000,333k,333000,0.60,-2.41,3/4,240,0,240,100.00
0.80,333000,333k,333000,0.80,-2.21,3/4,240,0,240,100.00
1.00,333000,333k,333000,1.00,-2.01,3/4,240,0,240,100.00
1.20,333000,333k,333000,1.20,-1.81,3/4,240,0,240,100.00
1.40,333000,333k,333000,1.40,-1.61,3/4,240,0,240,100.00
1.60,333000,333k,333000,1.60,-1.41,3/4,240,0,240,100.00
1.80,333000,333k,333000,1.80,-1.21,3/4,240,0,240,100.00
2.00,333000,333k,333000,2.00,-1.01,3/4,240,0,240,100.00
2.20,333000,333k,333000,2.20,-0.81,3/4,240,0,240,100.00
2.40,333000,333k,333000,2.40,-0.61,3/4,240,0,240,100.00
2.60,333000,333k,333000,2.60,-0.41,3/4,240,0,240,100.00
2.80,333000,333k,333000,2.80,-0.21,3/4,240,0,240,100.00
3.00,333000,333k,333000,3.00,-0.01,3/4,240,0,240,100.00
3.20,333000,333k,333000,3.20,0.19,3/4,240,0,240,100.00
3.40,333000,333k,333000,3.40,0.39,3/4,240,0,240,100.00
3.60,333000,333k,333000,3.60,0.59,3/4,240,1,239,99.58
3.80,333000,333k,333000,3.80,0.79,3/4,240,1,239,99.58
4.00,333000,333k,333000,4.00,0.99,3/4,240,7,233,97.08
4.20,333000,333k,333000,4.20,1.19,3/4,240,25,215,89.58
4.40,333000,333k,333000,4.40,1.39,3/4,240,49,191,79.58
4.60,333000,333k,333000,4.60,1.59,3/4,240,75,165,68.75
4.80,333000,333k,333000,4.80,1.79,3/4,240,124,116,48.33
5.00,333000,333k,333000,5.00,1.99,3/4,240,165,75,31.25
5.20,333000,333k,333000,5.20,2.19,3/4,240,174,66,27.50
5.40,333000,333k,333000,5.40,2.39,3/4,240,211,29,12.08
5.60,333000,333k,333000,5.60,2.59,3/4,240,211,29,12.08
5.80,333000,333k,333000,5.80,2.79,3/4,240,224,16,6.67
6.00,333000,333k,333000,6.00,2.99,3/4,240,228,12,5.00
6.20,333000,333k,333000,6.20,3.19,3/4,240,234,6,2.50
6.40,333000,333k,333000,6.40,3.39,3/4,240,234,6,2.50
6.60,333000,333k,333000,6.60,3.59,3/4,240,237,3,1.25
6.80,333000,333k,333000,6.80,3.79,3/4,240,240,0,0.00
7.00,333000,333k,333000,7.00,3.99,3/4,240,240,0,0.00
7.20,333000,333k,333000,7.20,4.19,3/4,240,240,0,0.00
7.40,333000,333k,333000,7.40,4.39,3/4,240,240,0,0.00
7.60,333000,333k,333000,7.60,4.59,3/4,240,240,0,0.00
7.80,333000,333k,333000,7.80,4.79,3/4,240,240,0,0.00
8.00,333000,333k,333000,8.00,4.99,3/4,240,240,0,0.00
0.00,333000,250k,250000,1.25,-1.77,1/2,240,3,237,98.75
0.20,333000,250k,250000,1.45,-1.57,1/2,240,17,223,92.92
0.40,333000,250k,250000,1.65,-1.37,1/2,240,30,210,87.50
0.60,333000,250k,250000,1.85,-1.17,1/2,240,59,181,75.42
0.80,333000,250k,250000,2.05,-0.97,1/2,240,90,150,62.50
1.00,333000,250k,250000,2.25,-0.77,1/2,240,133,107,44.58
1.20,333000,250k,250000,2.45,-0.57,1/2,240,161,79,32.92
1.40,333000,250k,250000,2.65,-0.37,1/2,240,180,60,25.00
1.60,333000,250k,250000,2.85,-0.17,1/2,240,214,26,10.83
1.80,333000,250k,250000,3.05,0.03,1/2,240,223,17,7.08
2.00,333000,250k,250000,3.25,0.23,1/2,240,222,18,7.50
2.20,333000,250k,250000,3.45,0.43,1/2,240,232,8,3.33
2.40,333000,250k,250000,3.65,0.63,1/2,240,234,6,2.50
2.60,333000,250k,250000,3.85,0.83,1/2,240,238,2,0.83
2.80,333000,250k,250000,4.05,1.03,1/2,240,238,2,0.83
3.00,333000,250k,250000,4.25,1.23,1/2,240,240,0,0.00
3.20,333000,250k,250000,4.45,1.43,1/2,240,238,2,0.83
3.40,333000,250k,250000,4.65,1.63,1/2,240,238,2,0.83
3.60,333000,250k,250000,4.85,1.83,1/2,240,240,0,0.00
3.80,333000,250k,250000,5.05,2.03,1/2,240,240,0,0.00
4.00,333000,250k,250000,5.25,2.23,1/2,240,240,0,0.00
4.20,333000,250k,250000,5.45,2.43,1/2,240,240,0,0.00
4.40,333000,250k,250000,5.65,2.63,1/2,240,240,0,0.00
4.60,333000,250k,250000,5.85,2.83,1/2,240,240,0,0.00
4.80,333000,250k,250000,6.05,3.03,1/2,240,240,0,0.00
5.00,333000,250k,250000,6.25,3.23,1/2,240,240,0,0.00
5.20,333000,250k,250000,6.45,3.43,1/2,240,240,0,0.00
5.40,333000,250k,250000,6.65,3.63,1/2,240,240,0,0.00
5.60,333000,250k,250000,6.85,3.83,1/2,240,240,0,0.00
5.80,333000,250k,250000,7.05,4.03,1/2,240,240,0,0.00
6.00,333000,250k,250000,7.25,4.23,1/2,240,240,0,0.00
