i,q,symbol,bin
0.7326735,0.6805804,1,29
0.0462175,0.9989314,1,30
-0.4569472,0.8894938,1,31
0.8175918,-0.5757983,1,32
-0.3020646,-0.9532875,1,33
0.5096387,0.8603885,1,34
0.9340541,0.3571317,1,35
0.9627734,0.2703098,1,36
0.9263128,-0.3767554,1,37
-0.9983504,-0.0574138,1,38
0.1571349,-0.9875771,1,39
-0.6228253,0.7823610,1,40
-0.9762200,-0.2167821,1,41
-0.0279863,-0.9996083,1,42
-0.8312402,0.5559134,1,43
0.5622847,0.8269437,1,44
0.2509026,0.9680123,1,45
-0.5271108,-0.8497966,1,46
0.5721471,0.8201510,1,47
-0.2108877,0.9775103,1,48
-0.0916999,0.9957867,1,49
-0.5716902,-0.8204696,1,50
-0.9087705,-0.4172963,1,51
0.8418399,0.5397273,1,52
-0.2280577,0.9736476,1,53
0.3870536,-0.9220573,1,54
0.1981262,0.9801765,1,55
0.6501499,0.7598060,1,56
-0.4910935,0.8711069,1,57
-0.1734201,0.9848480,1,58
-0.9629527,0.2696705,1,59
0.6220691,0.7829624,1,60
-0.4378904,-0.8990284,1,61
0.0540328,-0.9985391,1,62
-0.7166066,0.6974776,1,63
0.5573123,0.8303030,1,64
-0.9752740,0.2209994,1,65
-0.9981298,0.0611298,1,66
0.9727407,-0.2318954,1,67
0.3167778,0.9484998,1,68
-0.0441538,-0.9990247,1,69
0.5908448,0.8067853,1,70
-0.8043267,-0.5941873,1,71
0.8139793,-0.5808939,1,72
0.7224997,-0.6913713,1,73
-0.6818696,-0.7314738,1,74
-0.0501331,-0.9987425,1,75
0.9787738,-0.2049435,1,76
-0.9202898,-0.3912375,1,77
-0.8864641,-0.4627974,1,78
-0.9554787,-0.2950603,1,79
0.9735645,0.2284123,1,80
0.8227636,0.5683838,1,81
0.9972801,0.0737047,2,-79
-0.4680054,0.8837256,2,-78
-0.9157325,-0.4017884,2,-77
0.8535842,0.5209548,2,-76
0.5027163,-0.8644515,2,-75
0.3081209,0.9513472,2,-74
0.2623101,0.9649836,2,-73
0.6498867,-0.7600312,2,-72
0.5232432,0.8521834,2,-71
0.0317760,0.9994950,2,-70
0.2763620,0.9610537,2,-69
-0.1960640,-0.9805911,2,-68
-0.2457054,-0.9693445,2,-67
0.8504137,-0.5261145,2,-66
-0.9998162,0.0191754,2,-65
0.0690002,0.9976166,2,-64
0.3586184,0.9334843,2,-63
-0.9961040,-0.0881863,2,-62
-0.3310146,-0.9436256,2,-61
0.9418121,-0.3361399,2,-60
0.6520609,-0.7581667,2,-59
-0.7180266,-0.6960157,2,-58
0.0344708,-0.9994057,2,-57
0.9907367,0.1357969,2,-56
-0.9963310,-0.0855832,2,-55
0.7958388,-0.6055086,2,-54
0.7600619,0.6498507,2,-53
0.7121801,-0.7019969,2,-52
0.9109290,-0.4125632,2,-51
0.6413527,-0.7672462,2,-50
-0.4424382,0.8967990,2,-49
-0.9442353,0.3292714,2,-48
0.3169670,-0.9484366,2,-47
-0.7056686,-0.7085420,2,-46
-0.9268032,-0.3755475,2,-45
-0.9725698,0.2326111,2,-44
-0.6013729,-0.7989685,2,-43
0.8071986,0.5902799,2,-42
0.6394668,-0.7688187,2,-41
0.4176144,0.9086244,2,-40
-0.1549912,0.9879159,2,-39
0.1435307,-0.9896458,2,-38
-0.8832920,-0.4688233,2,-37
0.8149301,-0.5795593,2,-36
-0.6144286,0.7889724,2,-35
0.1346187,0.9908975,2,-34
0.2383304,-0.9711841,2,-33
0.0705600,-0.9975075,2,-32
0.5516087,0.8341030,2,-31
-0.6812100,-0.7320881,2,-30
0.4354958,0.9001908,2,-29
0.9462237,0.3235129,2,-28
0.7505149,0.6608535,2,-27
0.3001403,-0.9538951,2,-26
0.7182626,0.6957721,2,-25
-0.2670197,0.9636911,2,-24
-0.6279437,0.7782588,2,-23
