i,q,symbol,bin
0.7630776,0.6463069,0,62
0.7981725,0.6024290,0,63
0.7454083,-0.6666082,0,64
0.6786211,-0.7344885,0,65
0.6016511,0.7987590,0,66
-0.8322245,0.5544387,0,67
-0.7280651,0.6855079,0,68
-0.6575600,-0.7534022,0,69
0.6079103,-0.7940056,0,70
-0.7246132,0.6891557,0,71
-0.5331429,0.8460252,0,72
0.6946414,0.7193562,0,73
0.7045607,-0.7096437,0,74
0.7290853,-0.6844229,0,75
0.5441579,-0.8389828,0,76
-0.7347302,-0.6783594,0,77
-0.7769063,0.6296162,0,78
0.6874555,0.7262265,0,79
0.5054193,-0.8628739,0,80
-0.7264529,-0.6872162,0,81
0.7060911,0.7081210,0,82
-0.8887709,0.4583516,0,83
-0.7654508,-0.6434944,0,84
-0.8116794,-0.5841032,0,85
0.6765445,0.7364017,0,86
0.5544785,-0.8321981,0,87
-0.8708645,-0.4915233,0,88
-0.7546127,0.6561704,0,89
-0.6737794,0.7389326,0,90
0.8512809,-0.5247102,0,91
0.4250208,-0.9051836,0,92
-0.7144688,-0.6996673,0,93
-0.7776887,0.6286495,0,94
0.7332478,0.6799616,0,95
-0.7038974,0.7103016,0,96
0.6721371,-0.7404267,0,97
0.8147438,-0.5798211,0,98
-0.7285531,-0.6849894,0,99
-0.7775264,-0.6288503,0,100
0.5993075,-0.8005189,0,101
0.4285705,0.9035084,0,102
0.7962498,0.6049680,0,103
-0.5699459,0.8216823,0,104
0.8468133,0.5318902,0,105
-0.7238199,-0.6899890,0,106
0.7304309,-0.6829866,0,107
0.4968763,0.8678214,0,108
-0.8506503,-0.5257320,0,109
-0.7132265,0.7009336,0,110
0.7318025,0.6815168,0,111
0.6289145,0.7774745,0,112
0.7011902,-0.7129743,0,113
-0.7777842,-0.6285313,0,114
0.6038418,-0.7971042,0,115
0.6458741,0.7634439,0,116
0.7708704,-0.6369919,0,117
0.5898101,0.8075420,0,118
0.7657813,0.6431011,1,-118
0.6731812,-0.7394776,1,-117
0.6874050,0.7262743,1,-116
-0.5788044,-0.8154664,1,-115
0.6587031,-0.7524030,1,-114
-0.5972167,-0.8020800,1,-113
0.8363366,-0.5482163,1,-112
-0.8521035,0.5233733,1,-111
-0.7214323,0.6924849,1,-110
-0.6629916,-0.7486268,1,-109
0.4056201,-0.9140418,1,-108
-0.7350212,-0.6780441,1,-107
0.9061859,-0.4228796,1,-106
-0.5611477,0.8277157,1,-105
-0.5203978,0.8539239,1,-104
0.6530275,-0.7573342,1,-103
-0.5552284,0.8316979,1,-102
0.6463952,-0.7630028,1,-101
-0.7887409,-0.6147258,1,-100
-0.8034092,-0.5954274,1,-99
0.5416023,0.8406348,1,-98
0.6244071,-0.7810991,1,-97
0.5853057,0.8108127,1,-96
0.7966019,0.6045043,1,-95
-0.6868559,0.7267936,1,-94
-0.6302498,-0.7763924,1,-93
0.6393253,0.7689364,1,-92
0.7397103,0.6729255,1,-91
-0.7658961,-0.6429644,1,-90
-0.7786167,0.6274998,1,-89
-0.6382107,-0.7698618,1,-88
0.8146066,0.5800139,1,-87
-0.6678441,0.7443011,1,-86
-0.5977993,0.8016458,1,-85
0.5238833,-0.8517901,1,-84
0.8543273,0.5197354,1,-83
0.7410049,0.6714997,1,-82
-0.5701714,0.8215258,1,-81
0.8330789,0.5531542,1,-80
0.6790268,-0.7341135,1,-79
-0.6618398,0.7496452,1,-78
0.6786870,0.7344276,1,-77
0.6317948,0.7751357,1,-76
-0.5830165,-0.8124603,1,-75
0.7252879,0.6884456,1,-74
-0.6738527,0.7388657,1,-73
0.7954639,-0.6060010,1,-72
-0.8477308,0.5304268,1,-71
0.8502600,0.5263628,1,-70
-0.6109098,-0.7917002,1,-69
-0.2243215,-0.9745152,1,-68
0.6126928,-0.7903211,1,-67
0.5611923,0.8276855,1,-66
0.6349062,0.7725893,1,-65
0.6652507,0.7466200,1,-64
0.6711628,-0.7413100,1,-63
-0.5583678,-0.8295935,1,-62
-0.6635379,-0.7481427,1,-61
0.6995124,-0.7146205,1,-60
-0.4395346,0.8982256,1,-59
0.7253003,-0.6884327,1,-58
0.6273800,-0.7787133,1,-57
-0.8451273,0.5345652,1,-56
0.6626053,-0.7489688,1,-55
0.8385946,0.5447561,1,-54
-0.7763236,0.6303346,1,-53
0.6925338,-0.7213855,1,-52
0.6456218,0.7636573,1,-51
0.6261257,-0.7797221,1,-50
-0.5144613,0.8575136,1,-49
0.7526360,-0.6584369,1,-48
0.7533877,-0.6575766,1,-47
-0.7546143,-0.6561687,1,-46
0.5821388,0.8130894,1,-45
0.7958809,-0.6054532,1,-44
-0.6659693,-0.7459792,1,-43
0.7687452,-0.6395552,1,-42
-0.8427091,0.5383692,1,-41
-0.8371647,0.5469508,1,-40
0.8175182,-0.5759026,1,-39
-0.5887375,-0.8083243,1,-38
0.5645762,-0.8253810,1,-37
-0.8315583,-0.5554374,1,-36
0.7971135,0.6038295,1,-35
-0.6920692,-0.7218311,1,-34
-0.7418180,0.6706013,1,-33
-0.8091171,-0.5876475,1,-32
0.7876427,0.6161323,1,-31
-0.6202595,-0.7843966,1,-30
0.5783558,0.8157846,1,-29
0.6882797,-0.7254454,1,-28
-0.4342343,-0.9008000,1,-27
-0.5593235,-0.8289495,1,-26
0.7237837,0.6900269,1,-25
0.8835319,-0.4683709,1,-24
0.7272441,0.6863788,1,-23
-0.8532658,0.5214763,1,-22
-0.6231050,0.7821382,1,-21
0.7920512,0.6104547,1,-20
0.7528160,-0.6582310,1,-19
0.6518927,-0.7583113,1,-18
-0.7175985,0.6964570,1,-17
-0.6108854,-0.7917190,1,-16
-0.7445599,0.6675556,1,-15
-0.4187966,0.9080800,1,-14
0.8329430,-0.5533588,1,-13
-0.6380405,-0.7700028,1,-12
0.7645286,0.6445898,1,-11
0.7666971,-0.6420090,1,-10
-0.8576878,0.5141709,1,-9
0.8126371,0.5827701,1,-8
0.6195773,0.7849356,1,-7
0.6094687,0.7928101,1,-6
-0.6838526,0.7296202,1,-5
-0.7487640,-0.6628366,1,-4
-0.7031812,0.7110106,1,-3
0.7131542,0.7010072,1,-2
-0.6500121,-0.7599239,1,-1
0.7539140,-0.6569731,1,1
0.7831080,0.6218857,1,2
-0.5745484,-0.8184706,1,3
-0.6259198,0.7798874,1,4
-0.7611471,-0.6485794,1,5
0.7671409,-0.6414786,1,6
0.7279980,0.6855792,1,7
0.6915547,-0.7223241,1,8
0.8177559,0.5755651,1,9
-0.7342349,-0.6788956,1,10
-0.8553535,-0.5180447,1,11
-0.6261405,-0.7797102,1,12
-0.9633533,0.2682357,1,13
0.8852962,-0.4650277,1,14
0.5829613,0.8124999,1,15
-0.7504011,-0.6609828,1,16
-0.5521321,0.8337567,1,17
-0.6227918,-0.7823876,1,18
-0.6876751,-0.7260185,1,19
-0.8685610,-0.4955823,1,20
0.7320270,0.6812757,1,21
0.7029763,0.7112133,1,22
0.8540322,-0.5202202,1,23
0.8073446,-0.5900801,1,24
0.9088200,-0.4171884,1,25
-0.7237395,0.6900733,1,26
0.6475194,-0.7620490,1,27
0.6959745,-0.7180665,1,28
-0.4307873,-0.9024535,1,29
0.6674381,0.7446653,1,30
-0.6269090,0.7790925,1,31
